City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Jamestown,42.097,-79.2353,44.71,37,90,13.0,US,2021-12-05 23:38:03
140,Kahului,20.8947,-156.47,74.84,90,90,9.22,US,2021-12-05 23:36:03
141,Asnaes,55.8123,11.5013,29.89,83,94,13.0,DK,2021-12-05 23:38:18
142,Halifax,44.6453,-63.5724,30.2,80,72,1.99,CA,2021-12-05 23:38:01
143,Port Lincoln,-34.7333,135.8667,66.56,55,16,1.19,AU,2021-12-05 23:38:19
144,Santa Maria,-29.6842,-53.8069,78.1,61,20,10.36,BR,2021-12-05 23:38:20
145,Cape Town,-33.9258,18.4232,61.27,90,75,4.0,ZA,2021-12-05 23:37:05
146,Victoria,22.2855,114.1577,65.25,57,39,1.01,HK,2021-12-05 23:35:28
147,Sitka,57.0531,-135.33,35.49,75,90,8.05,US,2021-12-05 23:38:21
148,Hithadhoo,-0.6,73.0833,81.59,76,100,12.03,MV,2021-12-05 23:38:22
149,Oranjemund,-28.55,16.4333,61.47,90,33,6.38,NA,2021-12-05 23:38:23
150,Pimenteiras,-6.2453,-41.4192,81.95,54,67,3.65,BR,2021-12-05 23:38:23
151,Aguimes,27.9054,-15.4461,63.23,63,40,20.71,ES,2021-12-05 23:38:24
152,Klaksvik,62.2266,-6.589,38.32,63,58,20.98,FO,2021-12-05 23:37:28
153,Hirara,24.8,125.2833,70.07,68,20,11.5,JP,2021-12-05 23:38:25
154,Bolshoy Kamen,43.1225,132.3583,8.49,90,17,3.89,RU,2021-12-05 23:38:25
155,Rathcoole,53.2828,-6.4728,41.68,85,0,6.91,IE,2021-12-05 23:38:26
156,Stolin,51.8912,26.846,29.7,96,100,5.39,BY,2021-12-05 23:38:26
157,East London,-33.0153,27.9116,68.27,93,100,4.32,ZA,2021-12-05 23:38:27
158,Dolores,-36.3132,-57.6792,59.61,95,79,6.42,AR,2021-12-05 23:38:27
159,Seoul,37.5683,126.9778,33.24,93,0,1.14,KR,2021-12-05 23:36:13
160,Nome,64.5011,-165.4064,32.07,81,90,28.77,US,2021-12-05 23:38:28
161,Shelburne,44.0787,-80.2041,30.27,96,100,18.48,CA,2021-12-05 23:36:06
162,Salalah,17.0151,54.0924,75.29,33,0,9.22,OM,2021-12-05 23:38:28
163,Saskylakh,71.9167,114.0833,-32.31,98,100,4.61,RU,2021-12-05 23:33:38
164,Lexington,37.9887,-84.4777,62.42,70,20,3.0,US,2021-12-05 23:37:00
165,Cabedelo,-6.9811,-34.8339,79.47,78,69,16.6,BR,2021-12-05 23:38:29
166,Acapulco,16.8634,-99.8901,84.02,74,1,5.75,MX,2021-12-05 23:36:16
167,Pedasi,7.5333,-80.0333,81.07,84,98,7.34,PA,2021-12-05 23:38:29
168,Opunake,-39.4556,173.8583,68.34,91,100,14.43,NZ,2021-12-05 23:38:30
169,Yarada,17.65,83.2667,77.32,83,75,2.3,IN,2021-12-05 23:38:30
170,Half Moon Bay,37.4636,-122.4286,66.51,75,1,1.99,US,2021-12-05 23:34:55
171,Honiton,50.7996,-3.189,40.05,88,71,2.44,GB,2021-12-05 23:38:31
172,Kattivakkam,13.2167,80.3167,80.69,91,2,1.54,IN,2021-12-05 23:38:32
173,Bengkulu,-3.8004,102.2655,76.37,87,94,6.53,ID,2021-12-05 23:37:57
174,Cassilandia,-19.1133,-51.7342,79.14,66,64,3.8,BR,2021-12-05 23:38:33
175,Mutoko,-17.397,32.2268,70.25,45,4,8.25,ZW,2021-12-05 23:38:33
176,Coquimbo,-29.9533,-71.3436,58.73,82,75,11.5,CL,2021-12-05 23:38:33
177,Mogadishu,2.0371,45.3438,79.05,75,79,14.58,SO,2021-12-05 23:38:34
178,Larsnes,62.2028,5.5773,37.0,80,100,6.87,NO,2021-12-05 23:38:34
179,Myre,69.1036,15.9492,21.15,59,41,8.59,NO,2021-12-05 23:38:34
180,Great Falls,47.5002,-111.3008,13.68,85,90,4.61,US,2021-12-05 23:38:35
181,Chokurdakh,70.6333,147.9167,-42.57,99,56,5.79,RU,2021-12-05 23:38:35
182,Saint-Francois,46.4154,3.9054,36.84,92,90,8.05,FR,2021-12-05 23:38:36
183,Mao,39.8885,4.2658,45.16,76,0,8.05,ES,2021-12-05 23:39:36
184,Babati,-4.2167,35.75,64.18,82,97,1.36,TZ,2021-12-05 23:39:37
185,Sinop,41.7711,34.8709,47.73,76,18,11.41,TR,2021-12-05 23:39:37
186,Manbij,36.5281,37.9549,38.17,42,0,5.82,SY,2021-12-05 23:39:37
187,Kodiak,57.79,-152.4072,31.51,80,90,0.0,US,2021-12-05 23:39:38
188,Broome,42.2506,-75.833,42.22,59,90,1.01,US,2021-12-05 23:39:38
189,Tabas,33.5959,56.9244,49.64,35,60,1.43,IR,2021-12-05 23:39:39
190,Matara,5.9485,80.5353,75.52,91,68,4.83,LK,2021-12-05 23:39:39
191,Atuona,-9.8,-139.0333,78.66,75,5,19.08,PF,2021-12-05 23:39:40
192,Ponta Do Sol,32.6667,-17.1,65.03,70,22,9.73,PT,2021-12-05 23:39:40
193,Marawi,7.9986,124.2928,65.64,90,100,2.91,PH,2021-12-05 23:39:40
194,Santa Catarina De Tepehuanes,25.35,-105.7333,60.01,32,100,8.08,MX,2021-12-05 23:39:41
195,Longyearbyen,78.2186,15.6401,15.64,73,75,11.5,SJ,2021-12-05 23:37:20
196,Khetia,21.6667,74.5833,70.63,59,42,3.71,IN,2021-12-05 23:39:41
197,Urumqi,43.801,87.6005,18.55,73,82,4.47,CN,2021-12-05 23:39:42
198,Rocha,-34.4833,-54.3333,60.15,97,84,4.36,UY,2021-12-05 23:39:26
199,Mandalgovi,45.7625,106.2708,17.85,47,0,9.51,MN,2021-12-05 23:39:43
200,Key West,24.5557,-81.7826,78.8,74,20,6.91,US,2021-12-05 23:39:20
201,Ulagan,50.6321,87.9563,5.41,80,98,1.48,RU,2021-12-05 23:39:43
202,Chuy,-33.6971,-53.4616,64.72,84,98,7.54,UY,2021-12-05 23:35:30
203,Upernavik,72.7868,-56.1549,25.14,77,100,6.49,GL,2021-12-05 23:39:44
204,Bassano,50.7834,-112.4685,9.1,92,97,4.18,CA,2021-12-05 23:39:44
205,Haines Junction,60.7522,-137.5108,-0.29,100,100,1.77,CA,2021-12-05 23:39:45
206,Port Elizabeth,-33.918,25.5701,65.1,100,90,16.11,ZA,2021-12-05 23:39:45
207,Denpasar,-8.65,115.2167,76.71,94,75,24.16,ID,2021-12-05 23:39:45
208,Nago,26.5881,127.9761,69.87,67,11,17.36,JP,2021-12-05 23:39:46
209,Gazli,40.1333,63.45,40.01,80,0,9.26,UZ,2021-12-05 23:39:46
210,Rancho Palos Verdes,33.7445,-118.387,74.1,81,1,3.0,US,2021-12-05 23:39:47
211,Las Vegas,36.175,-115.1372,77.68,13,1,14.97,US,2021-12-05 23:39:47
212,Namtsy,62.7161,129.6658,-23.69,96,99,4.54,RU,2021-12-05 23:39:47
213,Melo,-32.3667,-54.1833,64.49,73,36,13.49,UY,2021-12-05 23:39:48
214,Deputatskiy,69.3,139.9,-23.84,97,100,2.68,RU,2021-12-05 23:39:49
215,Gat,31.61,34.7642,61.92,53,37,8.81,IL,2021-12-05 23:39:50
216,Shebalino,51.2917,85.6772,22.98,76,100,5.88,RU,2021-12-05 23:39:50
